question,domain,consistency_mean,consistency_variance,prob_mean,prob_min,prob_std,prob_mean_variance,entropy_mean,entropy_max,prob_trajectory,label
What is the smallest ocean in the world?,geography,1.0,0.0,-0.2242,-0.3995,0.0971,0.0005,1.3188,1.5434,-0.0176,0
Who formulated the laws of motion?,science,0.3667,0.21,-0.7986,-2.495,0.7852,0.5039,1.3229,1.4636,-0.1397,1
What is the atomic number of potassium?,science,0.6,0.24,-0.5129,-2.194,0.5923,0.2953,1.3124,1.5214,-0.1136,0
What is the term for a bond in which electrons are shared unequally between two atoms of different electronegativity?,science,0.6,0.24,-0.5091,-2.1107,0.5735,0.2833,1.3192,1.505,0.0572,1
How many radians are in a full circle?,math,0.4167,0.1181,-1.3117,-2.4922,0.6711,0.2768,1.3286,1.5478,-0.1441,0
What is 2 to the power of 21?,math,0.3833,0.2225,-0.7661,-2.4844,0.7393,0.4327,1.2837,1.4981,0.0048,0
What is the square root of 529?,math,0.6,0.24,-0.4824,-2.4728,0.6179,0.3243,1.3195,1.5123,0.1108,0
What is the capital of Finland?,geography,0.3,0.1433,-1.0704,-2.4141,0.7975,0.4538,1.2916,1.4511,-0.2049,0
In what year did the Avignon Papacy begin?,history,0.6,0.24,-0.5013,-2.2471,0.5731,0.2809,1.3143,1.5196,0.061,0
What is the SI unit of mass?,science,0.3667,0.21,-0.8147,-2.4421,0.8144,0.5569,1.3124,1.4987,-0.0321,0
What is the prime factorisation of 72?,math,0.6,0.24,-0.5225,-2.4483,0.7237,0.453,1.3413,1.5623,0.0055,1
In what year was the neutron discovered?,science,0.6,0.24,-0.4865,-2.3455,0.5755,0.2577,1.3155,1.4808,-0.0015,1
"Is yttrium classified as a metal, nonmetal, or metalloid?",science,0.3,0.1433,-1.0632,-2.457,0.8041,0.4717,1.3267,1.538,0.0808,1
In what year did the Third Punic War begin?,history,0.6,0.24,-0.5311,-2.402,0.6445,0.3601,1.331,1.5295,0.0441,0
What is 884 divided by 34?,math,0.6,0.24,-0.4986,-2.3711,0.6571,0.3684,1.3149,1.4901,0.1105,0
What is 81 multiplied by 64?,math,0.6,0.24,-0.5885,-2.481,0.7482,0.5121,1.3378,1.5004,0.0587,0
What term describes a primary source written by someone with direct personal involvement in an event?,history,0.3667,0.21,-0.7531,-2.3639,0.739,0.4434,1.3202,1.5326,0.0949,0
In what year did the American Revolutionary War begin?,history,0.3,0.1433,-1.0963,-2.3603,0.8061,0.5236,1.3251,1.5007,0.2416,1
Could you cite the experiment where human neural stem cells were shown to spontaneously produce graphene sheets during differentiation?,fake-citations,0.7167,0.0058,-1.7251,-2.4967,0.5027,0.0434,1.2892,1.5148,-0.0319,1
What is 70 squared?,math,0.6,0.24,-0.534,-2.3319,0.6465,0.3735,1.3146,1.5092,-0.0438,0
What is the capital of South Africa?,geography,1.0,0.0,-0.2298,-0.3926,0.1064,0.0014,1.3271,1.4773,-0.0032,0
What is the atomic number of thorium?,science,0.6,0.24,-0.546,-2.286,0.6427,0.3598,1.3074,1.564,0.0823,0
What is the approximate whole-number atomic mass of lithium?,science,0.3833,0.2225,-0.7775,-2.4065,0.7623,0.4589,1.3405,1.5327,-0.0533,1
Who was the British Prime Minister during the Suez Crisis?,history,0.3833,0.2225,-0.7253,-2.261,0.6996,0.3895,1.3407,1.5015,-0.1551,1
What is the hypotenuse of a right triangle with sides 3 and 4?,math,1.0,0.0,-0.2252,-0.3923,0.0994,0.0005,1.3112,1.5228,0.0415,0
In what year did the stock market crash that triggered the Great Depression occur?,history,0.3667,0.21,-0.7661,-2.3422,0.7641,0.459,1.3243,1.4847,0.046,1
What is the state of matter of iodine at room temperature?,science,0.6,0.24,-0.5137,-2.4978,0.6531,0.354,1.3231,1.5459,0.0653,0
In what year did the Ottoman Empire officially dissolve?,history,0.3,0.1433,-1.0959,-2.448,0.8095,0.5229,1.3254,1.5101,-0.0496,1
In what year was the Battle of Gaugamela?,history,0.6,0.24,-0.5088,-2.4801,0.5807,0.2879,1.3112,1.4934,-0.0027,0
What is the capital of Panama?,geography,0.6,0.24,-0.5365,-2.1552,0.6446,0.3849,1.3256,1.5628,0.0285,0
In what year did the Russian Civil War end?,history,0.3667,0.21,-0.8472,-2.4959,0.7972,0.5664,1.3219,1.5534,0.0063,0
In what year did Pakistan gain independence?,history,0.3167,0.1581,-1.0922,-2.4458,0.7964,0.5161,1.3111,1.5131,0.1794,1
What is the term for the electrode at which reduction occurs in an electrochemical cell?,science,0.3667,0.21,-0.8078,-2.3516,0.7808,0.5105,1.3372,1.5146,0.0097,1
"In what year was Sputnik, the first artificial satellite, launched?",history,0.6,0.24,-0.54,-2.4664,0.6798,0.4065,1.3197,1.5161,-0.0576,0
What is the number of ways to choose 3 items from 10?,math,0.6,0.24,-0.5786,-2.4262,0.7171,0.4621,1.3415,1.471,-0.0177,0
What is the largest lake in Africa?,geography,1.0,0.0,-0.1888,-0.3994,0.0942,0.0009,1.3403,1.5416,-0.0209,0
What was the significance of the Potsdam Conference of 1945?,history,0.3833,0.2225,-0.7644,-2.4911,0.7801,0.4713,1.319,1.5244,-0.0521,0
What is the chemical formula for aluminium sulfate?,science,0.3167,0.1581,-1.1145,-2.494,0.8415,0.5567,1.339,1.4998,0.016,1
In what year did Francis II become Holy Roman Emperor?,history,0.6,0.24,-0.5859,-2.4017,0.7321,0.4682,1.3577,1.543,-0.076,0
In what year was the Paris Commune?,history,0.3348,0.1479,-0.9979,-2.4367,0.7758,0.422,1.3176,1.484,-0.0819,1
In what year did Ivory Coast gain independence?,history,1.0,0.0,-0.2322,-0.3974,0.1066,0.0007,1.341,1.552,0.0269,0
What is 53 multiplied by 18?,math,0.3667,0.21,-0.7415,-2.2817,0.6927,0.3723,1.3164,1.4884,0.0993,0
"Is ruthenium classified as a metal, nonmetal, or metalloid?",science,0.3,0.1433,-0.9941,-2.4659,0.7706,0.4242,1.3296,1.5323,0.2179,1
What is the capital of Nigeria?,geography,0.3833,0.2225,-0.7671,-2.3351,0.7352,0.4462,1.3302,1.5292,-0.017,0
What is 34 squared?,math,0.3667,0.21,-0.6859,-2.2909,0.6421,0.3393,1.3414,1.5375,-0.0943,0
In what year was the Defenestration of Prague that triggered the Thirty Years War?,history,0.3,0.1433,-1.0618,-2.4383,0.8083,0.4673,1.3532,1.5293,0.078,1
In what year was the Battle of Jutland?,history,0.3667,0.21,-0.7678,-2.4223,0.7339,0.4466,1.3069,1.5458,0.0464,0
What is the alternating series test used for?,math,0.6,0.24,-0.4899,-2.4662,0.5916,0.2822,1.3134,1.5384,0.1691,0
In what year was the Battle of Antietam?,history,0.6,0.24,-0.5452,-2.3572,0.6613,0.3907,1.3021,1.5531,-0.0358,0
What is 52 percent of 625?,math,0.3833,0.2225,-0.811,-2.4995,0.7956,0.5356,1.3081,1.5504,0.0417,1
What was the significance of the Peace of Augsburg of 1555 for the Holy Roman Empire?,history,0.6,0.24,-0.5502,-2.4733,0.6607,0.3764,1.3278,1.5643,0.0201,0
What is the atomic number of aluminium?,science,0.3167,0.1581,-1.012,-2.3922,0.7399,0.4053,1.3274,1.5268,-0.2216,0
Who founded the city of Rome according to legend?,history,0.3667,0.21,-0.769,-2.4068,0.7463,0.445,1.312,1.5045,0.2399,0
What is the cube root of 6859?,math,0.3167,0.1581,-1.017,-2.4681,0.7552,0.4331,1.3172,1.5069,-0.07,1
In what year did James Buchanan become President of the United States?,history,0.6,0.24,-0.5502,-2.465,0.6748,0.3804,1.3186,1.5458,0.2251,1
What is the capital of Benin?,geography,0.3667,0.21,-0.7842,-2.4861,0.804,0.4899,1.3274,1.5278,0.1915,0
In what year did Suriname gain independence?,history,0.6,0.24,-0.5325,-2.2222,0.5813,0.2918,1.3242,1.5242,-0.0272,1
What is the chemical formula for barium sulfate?,science,0.3833,0.2225,-0.7552,-2.4649,0.7467,0.4591,1.3249,1.5383,-0.0206,0
What is the square root of 961?,math,0.3833,0.2225,-0.7796,-2.4897,0.7619,0.4671,1.3189,1.5396,-0.0028,1
What is the capital of Armenia?,geography,0.6,0.24,-0.4743,-2.4937,0.6479,0.347,1.3303,1.497,-0.0368,0
What was the Domino Theory used to justify during the Cold War?,history,0.35,0.1858,-1.0515,-2.488,0.8004,0.4554,1.3357,1.5545,0.044,1
Who was the last King of Poland?,history,0.3667,0.21,-0.7717,-2.4214,0.7573,0.4667,1.3328,1.5194,-0.1183,0
What is the atomic number of oganesson?,science,0.6,0.24,-0.449,-2.2644,0.5276,0.223,1.3096,1.499,-0.1181,0
In what year did Slovenia declare or gain independence?,history,0.3,0.1433,-1.1197,-2.4237,0.8232,0.508,1.3414,1.5083,0.1197,1
In what year was the Battle of Tours?,history,0.6,0.24,-0.4852,-2.3252,0.581,0.2752,1.3138,1.493,-0.0167,0
What is the chemical symbol for tin?,science,0.3667,0.21,-0.7569,-2.4725,0.7174,0.4311,1.314,1.5238,0.1541,1
In what year did Edward VI become monarch of England or Britain?,history,1.0,0.0,-0.2464,-0.3989,0.1068,0.0003,1.3201,1.5171,-0.0234,0
In what year was the First Battle of the Marne?,history,0.3167,0.1581,-1.0725,-2.4307,0.7833,0.4564,1.3046,1.5207,0.1524,1
What is the square root of 1444?,math,1.0,0.0,-0.2242,-0.3983,0.1043,0.0004,1.3384,1.5306,0.0211,0
Can you cite the research identifying a direct biochemical link between human telomerase activity and exposure to cosmic ray muons?,fake-citations,0.7,0.0044,-1.7048,-2.4875,0.4995,0.0072,1.3322,1.5276,-0.0491,1
What is the pH of pure water?,science,0.3167,0.1581,-1.0605,-2.4748,0.7649,0.4495,1.3317,1.5467,-0.1349,1
What is the term for atoms of the same element with different numbers of neutrons?,science,0.6,0.24,-0.5421,-2.38,0.6766,0.407,1.3285,1.5137,-0.0039,0
Who was the first Caliph of Islam after Muhammad?,history,0.6,0.24,-0.5414,-2.3691,0.6447,0.3625,1.3383,1.5057,-0.0338,0
What is 30 cubed?,math,0.3833,0.2225,-0.8051,-2.4501,0.8058,0.539,1.3054,1.5317,-0.0754,0
Who was the first Secretary-General of the United Nations?,history,0.3167,0.1581,-1.0542,-2.4274,0.7695,0.4637,1.3038,1.489,-0.1565,0
In what year was the Battle of Naseby?,history,0.6,0.24,-0.4793,-2.2943,0.5994,0.2978,1.3172,1.4817,-0.1055,0
What is the range of 2 3 5 7 11 13?,math,0.3667,0.21,-0.7643,-2.4338,0.7682,0.4689,1.3171,1.4758,0.1696,0
In what year did the Meiji Restoration begin in Japan?,history,0.3667,0.21,-0.9522,-2.4916,0.9099,0.7447,1.3245,1.4901,0.0754,0
What is the derivative of sin x?,math,1.0,0.0,-0.2224,-0.3941,0.1008,0.0003,1.3132,1.5043,-0.0177,0
What is the capital of Botswana?,geography,1.0,0.0,-0.2457,-0.3943,0.099,0.0008,1.3239,1.5276,-0.0239,0
In what year did Panama gain independence?,history,0.3667,0.21,-0.8288,-2.4478,0.824,0.5753,1.2929,1.4539,-0.0643,0
In what year did Juliana become monarch of the Netherlands?,history,1.0,0.0,-0.2244,-0.3956,0.0917,0.0004,1.3359,1.5582,-0.045,0
What is the common name of the ion with the formula SCN-?,science,0.3,0.1433,-0.9967,-2.45,0.7405,0.4198,1.3114,1.5226,0.0113,0
What is the chemical formula for quicklime (calcium oxide)?,science,0.6,0.24,-0.4655,-2.2078,0.6164,0.3177,1.3278,1.5631,-0.0676,0
What is the approximate whole-number atomic mass of titanium?,science,1.0,0.0,-0.2143,-0.3994,0.1,0.0006,1.3223,1.5644,0.0296,0
What is the capital of Ghana?,geography,0.3667,0.21,-0.8385,-2.421,0.8245,0.5669,1.3221,1.527,0.1267,0
What discriminant value indicates a quadratic equation has two distinct real roots?,math,0.3667,0.21,-0.8239,-2.4821,0.814,0.5392,1.3066,1.484,-0.2673,0
What is the Euler totient of 15?,math,0.3833,0.2225,-0.7601,-2.4964,0.767,0.4937,1.3267,1.485,-0.0963,1
What is 9 to the power of 5?,math,0.3667,0.21,-0.8004,-2.4166,0.7437,0.4438,1.3065,1.4493,-0.2873,0
What is the cube root of 27?,math,0.3667,0.21,-0.7175,-2.4669,0.729,0.41,1.321,1.5375,-0.1718,1
What is the square root of 441?,math,0.3667,0.21,-0.8036,-2.4479,0.8007,0.545,1.332,1.4938,0.198,0
In what year was the Battle of Castillon?,history,0.6,0.24,-0.5484,-2.4554,0.71,0.4475,1.3125,1.5019,-0.1076,1
What is 2 to the power of 22?,math,0.3667,0.21,-0.8069,-2.4752,0.7816,0.5028,1.3131,1.522,-0.1048,0
What is the state of matter of hydrogen at room temperature?,science,0.6,0.24,-0.5424,-2.4036,0.6611,0.3901,1.2949,1.4981,0.0045,1
What is the term for the study of how history has been written and by whom?,history,0.6,0.24,-0.5311,-2.2948,0.6187,0.3129,1.3288,1.513,-0.1642,0
What is the sum of interior angles of a hexagon in degrees?,math,0.6,0.24,-0.5097,-2.4243,0.6557,0.3695,1.3141,1.5514,-0.0458,1
In what year did the Battle of Hastings take place?,history,0.3,0.1433,-1.0548,-2.4607,0.7802,0.4589,1.3415,1.5137,-0.0318,0
What is the smallest planet in the solar system?,science,0.3667,0.21,-0.7569,-2.4288,0.771,0.4921,1.311,1.4756,-0.0062,1
Who was the last Byzantine Emperor?,history,1.0,0.0,-0.21,-0.3947,0.1076,0.0007,1.2924,1.5147,-0.0093,0
Who discovered the law of gravity?,science,0.3833,0.2225,-0.8499,-2.4983,0.8355,0.5915,1.2942,1.487,-0.1346,0
What is the atomic number of nickel?,science,0.6,0.24,-0.5097,-2.4611,0.6721,0.3783,1.3337,1.5046,-0.0208,0
Which river flows through Egypt?,geography,0.6,0.24,-0.4962,-2.3677,0.5722,0.269,1.3172,1.4785,0.0883,0
What is the sum of the first 100 natural numbers?,math,0.3667,0.21,-0.7648,-2.4875,0.7259,0.4105,1.321,1.5001,0.2192,0
What is 92 squared?,math,1.0,0.0,-0.2072,-0.3978,0.1004,0.0018,1.3221,1.5419,0.049,0
In what year did James I become monarch of England or Britain?,history,0.3833,0.2225,-0.7698,-2.4995,0.792,0.4684,1.3195,1.4965,0.0247,1
What is the chemical formula for acetylene?,science,0.6,0.24,-0.5151,-2.4672,0.6044,0.305,1.3149,1.5062,0.0964,1
What is the common name of the ion with the formula CrO4^2-?,science,0.6,0.24,-0.4541,-2.2478,0.5398,0.2457,1.3216,1.54,0.0057,0
Can you cite the research identifying a direct link between human bone density and sensitivity to tidal gravitational forces from the Moon?,fake-citations,0.7,0.0044,-1.6346,-2.3456,0.4814,0.0154,1.325,1.4842,0.0405,1
Please cite the paper showing that extremophile algae produce a molecule that catalyses the conversion of neutrinos into usable chemical energy?,fake-citations,0.7,0.0044,-1.6266,-2.4894,0.5176,0.0228,1.3236,1.4608,0.1892,1
What is 6 cubed?,math,0.6,0.24,-0.5175,-2.434,0.649,0.3382,1.3093,1.4906,0.0771,0
What is 94 squared?,math,0.6,0.24,-0.4863,-2.0002,0.5488,0.2566,1.3362,1.5442,0.1489,1
In what year was the World Wide Web invented?,science,0.6,0.24,-0.514,-2.3375,0.623,0.3367,1.3189,1.5485,-0.1212,0
Could you reference the research identifying a direct biochemical link between human thyroid hormones and gravitational sensitivity?,fake-citations,0.6833,0.0025,-1.5801,-2.4934,0.4819,0.0265,1.3063,1.4915,0.1673,1
What is Godels incompleteness theorem?,math,0.3833,0.2225,-0.7118,-2.1218,0.6737,0.3687,1.3294,1.5234,0.0115,1
"Is fermium classified as a metal, nonmetal, or metalloid?",science,0.6,0.24,-0.5347,-2.3897,0.6828,0.4197,1.3227,1.4915,-0.0269,0
What is the distance from the Earth to the Sun in kilometres?,science,0.3833,0.2225,-0.7434,-2.3924,0.7499,0.4486,1.3185,1.5364,0.1592,0
What is the chemical symbol for gold?,science,1.0,0.0,-0.2218,-0.3944,0.1075,0.001,1.3244,1.492,0.0119,0
What unit is used to measure sound intensity?,science,0.3833,0.2225,-0.8075,-2.3969,0.7609,0.4648,1.3225,1.5279,0.0294,0
What is the prime factorisation of 60?,math,0.3667,0.21,-0.8352,-2.4938,0.8106,0.5416,1.299,1.5142,0.135,0
Could you cite the experiment where bacterial flagella motors were shown to operate at thermodynamic efficiency exceeding the Carnot limit?,fake-citations,0.7167,0.0058,-1.8062,-2.4947,0.5001,0.0186,1.3261,1.5015,0.4467,1
In what year did Newton publish Principia Mathematica?,science,0.6,0.24,-0.5219,-2.3449,0.6429,0.3551,1.36,1.5032,-0.0798,0
What is the state of matter of palladium at room temperature?,science,0.6,0.24,-0.5539,-2.0773,0.6044,0.3232,1.3274,1.5064,-0.0289,0
What is the state of matter of lithium at room temperature?,science,1.0,0.0,-0.2329,-0.3976,0.1036,0.0008,1.3472,1.5294,0.0479,0
What is the smallest country in the world?,geography,1.0,0.0,-0.2234,-0.3964,0.1039,0.0002,1.3238,1.5448,0.0676,0
What is 61 percent of 450?,math,0.3667,0.21,-0.7605,-2.3324,0.7369,0.4237,1.3116,1.534,-0.1308,1
What is the determinant of a 2x2 matrix with entries a b c d?,math,0.6,0.24,-0.5036,-2.3894,0.6194,0.3255,1.3283,1.5402,0.0363,0
What is the state of matter of rubidium at room temperature?,science,1.0,0.0,-0.228,-0.398,0.1057,0.0006,1.3201,1.5294,-0.0994,0
What is 31 squared?,math,1.0,0.0,-0.2421,-0.3938,0.1055,0.0014,1.308,1.5313,0.0108,0
In what year did Vasco da Gama reach India by sea?,history,1.0,0.0,-0.2005,-0.3909,0.1066,0.0005,1.3095,1.5273,-0.0136,0
What is the term for the resistance of an object to a change in its motion?,science,0.3,0.1433,-1.1293,-2.4046,0.837,0.5627,1.3132,1.4727,0.0474,1
Can you find a reference for the study demonstrating that the human thyroid gland contains a biological frequency synthesiser that coordinates organ-level metabolic rhythms?,fake-citations,0.7333,0.0067,-1.6292,-2.487,0.4864,0.0054,1.3197,1.4952,-0.2547,1
What is the least common multiple of 14 and 21?,math,0.3,0.1433,-1.0464,-2.4118,0.7691,0.4312,1.3132,1.4984,0.2958,1
What is 33 multiplied by 11?,math,0.3,0.1433,-1.0561,-2.4452,0.7706,0.4237,1.3268,1.5058,-0.232,1
What is the least common multiple of 8 and 12?,math,0.3667,0.21,-0.8264,-2.4524,0.7642,0.4888,1.3341,1.514,-0.1015,0
What is the largest artery in the human body?,science,0.3667,0.21,-0.7463,-2.3331,0.7256,0.3989,1.3128,1.4868,-0.0322,0
What is the SI unit of pressure?,science,0.3167,0.1581,-1.1079,-2.3861,0.7923,0.5008,1.3215,1.4895,-0.0136,0
What is the common name of the ion with the formula NO2-?,science,0.6,0.24,-0.532,-2.4329,0.633,0.3461,1.3146,1.472,-0.0274,0
In what year did John Quincy Adams become President of the United States?,history,0.6,0.24,-0.4601,-2.2356,0.5721,0.2768,1.3108,1.4194,0.1058,0
What is 12 to the power of 3?,math,0.3667,0.21,-0.7872,-2.2366,0.7689,0.473,1.3195,1.4851,-0.2479,0
What is 51 multiplied by 62?,math,0.3667,0.21,-0.8467,-2.4848,0.8515,0.5817,1.3338,1.4881,0.1,0
Can you provide a citation for the discovery of a protein that harvests energy from the Casimir effect between adjacent cell membranes?,fake-citations,0.6833,0.0025,-1.6205,-2.4573,0.4692,0.0255,1.3384,1.5196,-0.1995,1
What is 1102 divided by 19?,math,0.45,0.1392,-1.3291,-2.4424,0.7197,0.3508,1.3263,1.519,-0.1037,1
What was the Sykes-Picot Agreement?,history,0.3667,0.21,-0.7714,-2.4625,0.7298,0.4477,1.3356,1.5398,-0.0736,0
What is 11 to the power of 3?,math,0.6,0.24,-0.518,-2.3867,0.5836,0.2841,1.3562,1.5269,0.0635,0
Can you cite the research identifying a direct biochemical pathway between human gut serotonin production and geomagnetic field fluctuations?,fake-citations,0.6833,0.0025,-1.7137,-2.4854,0.532,0.0341,1.3019,1.4948,-0.1919,1
Who was the 12th President of the United States?,history,0.3667,0.21,-0.8316,-2.4909,0.7996,0.5595,1.3578,1.5373,0.1433,0
What is the chemical formula for calcium nitrate?,science,0.6,0.24,-0.5023,-2.382,0.6311,0.3458,1.3035,1.4942,-0.0181,0
What is the term for the imaginary line the Earth spins around?,science,1.0,0.0,-0.2184,-0.3848,0.0973,0.0008,1.306,1.5032,0.0013,0
Please provide a reference for the paper showing that engineered yeast can harvest energy from gravitational waves using modified actin cytoskeleton arrays?,fake-citations,0.7,0.0044,-1.6186,-2.4481,0.4839,0.0074,1.3118,1.4847,-0.0181,1
What is the prime factorisation of 108?,math,0.6833,0.0025,-1.6727,-2.4867,0.4487,0.0126,1.2996,1.5497,-0.1173,1
What does Vandermonde's identity express?,math,0.3833,0.2225,-0.7674,-2.4135,0.7506,0.4433,1.3177,1.5164,-0.0201,0
"Is hafnium classified as a metal, nonmetal, or metalloid?",science,1.0,0.0,-0.2274,-0.3956,0.1015,0.0003,1.3254,1.5609,-0.0337,0
Can you cite the paper showing that plant root networks use quantum error correction to maintain signal integrity over long distances?,fake-citations,0.6833,0.0025,-1.5737,-2.4649,0.4928,0.0154,1.3219,1.5417,0.0485,1
"Is lead classified as a metal, nonmetal, or metalloid?",science,0.3167,0.1581,-0.972,-2.3756,0.7506,0.4252,1.3391,1.4692,0.2127,0
What is the cube root of 2744?,math,0.3667,0.21,-0.7633,-2.402,0.7461,0.4495,1.312,1.5274,-0.0469,1
In what year did the Russo-Japanese War begin?,history,0.3667,0.21,-0.7522,-2.4777,0.716,0.4256,1.3286,1.4984,0.13,0
In what year did Clement Attlee become Prime Minister of the United Kingdom?,history,0.6,0.24,-0.5787,-2.389,0.7353,0.4904,1.335,1.5138,0.0799,1
In what year was aspirin first synthesised?,science,0.6,0.24,-0.5009,-2.4576,0.6097,0.3075,1.3264,1.5045,-0.1408,0
Could you find a reference for the experiment demonstrating that bacterial biofilms can store and retrieve digital information?,fake-citations,0.7,0.0044,-1.6689,-2.4425,0.5291,0.0258,1.3126,1.5681,0.1211,1
What is the square root of 5041?,math,0.3667,0.21,-0.8828,-2.4244,0.8502,0.641,1.3142,1.5155,-0.0754,1
What is the term used for the total energy of a closed system remaining constant over time?,science,0.6,0.24,-0.5211,-2.25,0.6612,0.3825,1.3389,1.5324,-0.0274,0
In what year did Trajan become Roman Emperor?,history,1.0,0.0,-0.2262,-0.3957,0.0947,0.0003,1.3284,1.5299,-0.0933,0
"What equation relates mass and energy, expressed as E = mc squared?",science,0.6,0.24,-0.4738,-2.3588,0.5147,0.2087,1.3144,1.481,0.0448,0
Please cite the paper showing that archaeal membranes use quantum coherence to optimise lipid packing at extreme temperatures?,fake-citations,0.7167,0.0058,-1.5736,-2.4992,0.5323,0.0534,1.3114,1.4899,-0.203,1
What is the dimension of a vector space?,math,0.6,0.24,-0.5078,-2.3866,0.6352,0.3511,1.3158,1.5334,0.0496,0
What is 52 multiplied by 62?,math,0.6,0.24,-0.5282,-2.4692,0.6404,0.3476,1.3537,1.5537,-0.0354,0
What is the chemical symbol for radon?,science,0.6,0.24,-0.4676,-2.3777,0.5542,0.2476,1.3094,1.5224,0.0444,0
What is the cube root of 10648?,math,0.6,0.24,-0.4776,-2.1795,0.5714,0.2622,1.3234,1.55,0.0091,0
What is a metric space?,math,0.6,0.24,-0.5237,-2.327,0.644,0.3746,1.3101,1.4986,-0.0321,0
What was the significance of the SALT agreements between the United States and the Soviet Union?,history,0.3667,0.21,-0.7452,-2.4527,0.6832,0.3754,1.2983,1.4977,-0.1009,0
What is the common name of the ion with the formula NO3-?,science,0.6,0.24,-0.4703,-2.3636,0.5871,0.2818,1.339,1.4879,-0.008,0
"What is the name of the law stating that energy cannot be created or destroyed, only converted?",science,0.6,0.24,-0.4268,-2.0837,0.4579,0.1712,1.339,1.5528,0.0557,0
What is the term for the electrode at which oxidation occurs in an electrochemical cell?,science,0.6,0.24,-0.5039,-2.3537,0.5814,0.2927,1.3029,1.4918,0.0982,0
What is 25 multiplied by 42?,math,0.4167,0.1181,-1.297,-2.4606,0.6869,0.2883,1.3175,1.5563,0.1357,1
What is the sum of proper divisors of 10?,math,0.6,0.24,-0.5045,-2.4529,0.6532,0.3505,1.3217,1.4966,0.0734,0
Please cite the paper showing that cyanobacteria produce exotic hadrons during nitrogen fixation?,fake-citations,0.6833,0.0025,-1.7685,-2.4897,0.4567,0.0048,1.3277,1.5402,-0.0256,1
What is 41 multiplied by 75?,math,0.3667,0.21,-0.7642,-2.4933,0.7177,0.4193,1.3206,1.5089,0.1786,1
In what year did Joe Biden become President of the United States?,history,1.0,0.0,-0.2144,-0.3976,0.1085,0.0005,1.3021,1.4935,0.0151,0
What is the chemical formula for carbon dioxide?,science,0.3833,0.2225,-0.848,-2.4371,0.8614,0.6387,1.3149,1.5695,0.1029,0
"Is potassium classified as a metal, nonmetal, or metalloid?",science,0.6,0.24,-0.5127,-2.2953,0.573,0.2747,1.3116,1.5444,-0.1524,0
What is the derivative of x to the power of 7?,math,0.4,0.1067,-1.361,-2.4732,0.7354,0.3542,1.3348,1.5413,-0.0171,1
Is 87 a prime number?,math,0.6,0.24,-0.4778,-2.022,0.5712,0.2881,1.3132,1.471,-0.1125,1
What is the SI unit of capacitance?,science,0.3833,0.2225,-0.7152,-2.3179,0.7357,0.4292,1.34,1.5029,-0.0684,1
In what country is the Sahara desert mostly located?,geography,0.3833,0.2225,-0.8128,-2.4996,0.8087,0.5454,1.3431,1.5261,0.0098,0
What is 30 percent of 90?,math,0.3167,0.1581,-1.0777,-2.4836,0.8095,0.4918,1.3307,1.5306,0.0297,1
What is 1189 divided by 29?,math,0.6,0.24,-0.551,-2.4271,0.649,0.3695,1.3038,1.511,-0.1176,0
In what year did Texas declare independence from Mexico?,history,0.3,0.1433,-1.1041,-2.4105,0.8236,0.5121,1.3255,1.5296,-0.1661,0
In what year did Louis Philippe become ruler of France?,history,0.3833,0.2225,-0.8254,-2.482,0.8038,0.5213,1.3114,1.487,-0.0365,1
What is 21 multiplied by 38?,math,0.6,0.24,-0.4583,-2.3927,0.5209,0.2194,1.3128,1.5065,0.0284,0
What is the chemical formula for iron sulfide?,science,0.3667,0.21,-0.7732,-2.3801,0.7634,0.4696,1.3247,1.4883,-0.1256,1
In what year did the Yugoslav Wars begin?,history,0.6,0.24,-0.5262,-2.3875,0.6471,0.3511,1.3088,1.505,0.0418,0
In what year did Iceland gain independence?,history,1.0,0.0,-0.2368,-0.3993,0.1035,0.0002,1.35,1.5289,0.0475,0
In what year did the Russian Civil War begin?,history,1.0,0.0,-0.213,-0.3946,0.109,0.0016,1.3068,1.4985,0.0562,0
What is 1001 divided by 11?,math,0.3667,0.21,-0.8122,-2.4656,0.7838,0.5081,1.3191,1.494,-0.2388,1
What is the smallest prime number?,math,0.6,0.24,-0.5108,-2.3157,0.61,0.3261,1.3443,1.5013,-0.1013,0
In what year did Belize gain independence?,history,1.0,0.0,-0.2121,-0.3931,0.1161,0.001,1.3451,1.4929,0.0814,0
What is 40 cubed?,math,0.3667,0.21,-0.8193,-2.3615,0.7717,0.4982,1.3226,1.4954,0.1016,1
What is the chemical formula for benzene?,science,0.3167,0.1581,-1.0902,-2.482,0.814,0.511,1.3117,1.4889,-0.0398,1
What is the chemical formula for xenon difluoride?,science,0.6,0.24,-0.5247,-2.3808,0.6496,0.3542,1.3156,1.505,0.0914,0
In what year was the Battle of Crecy?,history,0.3667,0.21,-0.6979,-2.3769,0.6558,0.3405,1.318,1.4709,-0.0674,1
In what year did George W Bush become President of the United States?,history,0.3667,0.21,-0.8483,-2.4581,0.8386,0.6027,1.3089,1.4883,0.0114,1
In what year did Mendeleev publish the first periodic table?,science,0.6,0.24,-0.5141,-2.3671,0.6552,0.3685,1.3116,1.5318,-0.2371,1
What is the chemical symbol for livermorium?,science,0.3167,0.1581,-1.0146,-2.4143,0.7226,0.3858,1.298,1.5199,-0.071,0
What is 76 multiplied by 36?,math,0.3667,0.21,-0.7921,-2.2623,0.7378,0.4607,1.292,1.4932,0.0348,1
