question,answer
What was the name of the ship the Pilgrims sailed to America on in 1620?,Mayflower
In what year did the Pilgrims land at Plymouth Rock?,1620
What was the document signed by the Pilgrims establishing self-government called?,Mayflower Compact
In what year was the Boston Tea Party?,1773
In what year did the Salem witch trials take place?,1692
In what year was the Gutenberg Bible printed?,1455
In what year did Martin Luther post his Ninety-Five Theses?,1517
In what year did the Council of Trent begin?,1545
In what year was the Defenestration of Prague that triggered the Thirty Years War?,1618
In what year did Christopher Columbus die?,1506
In what year was the English East India Company founded?,1600
In what year was the Dutch East India Company founded?,1602
In what year was the Bank of England founded?,1694
"In what year did the first practical steam engine, built by Thomas Newcomen, appear?",1712
In what year did the Wright brothers make their first powered flight?,1903
In what year was the Panama Canal completed?,1914
In what year was the Suez Canal completed?,1869
In what year was the first US transcontinental railroad completed?,1869
In what year did the stock market crash that triggered the Great Depression occur?,1929
In what year was the Marshall Plan launched?,1948
In what year was NATO founded?,1949
In what year was the Warsaw Pact founded?,1955
In what year did the Cultural Revolution begin in China?,1966
In what year did the Tiananmen Square protests occur?,1989
In what year was the Chernobyl disaster?,1986
In what year did the Apollo 11 Moon landing take place?,1969
"In what year was Sputnik, the first artificial satellite, launched?",1957
"In what year was the first atomic bomb test, code-named Trinity?",1945
In what year did the Manhattan Project begin?,1942
In what year was the Universal Declaration of Human Rights adopted by the United Nations?,1948
In what year did the Velvet Revolution occur in Czechoslovakia?,1989
In what year did Germany reunify?,1990
In what year did the Yugoslav Wars begin?,1991
In what year did Hong Kong return to Chinese sovereignty?,1997
In what year was the Good Friday Agreement signed in Northern Ireland?,1998
In what year did apartheid officially end in South Africa?,1994
In what year was the Berlin Wall built?,1961
Who codified Babylonian law in the Code of Hammurabi around 1754 BC?,Hammurabi
Who built the Colosseum in Rome?,Vespasian
In what year was the Colosseum completed?,80
Who was the first Roman Emperor to convert to Christianity?,Constantine I
"In what year was the Edict of Milan issued, legalising Christianity in the Roman Empire?",313
In what year did the Western Roman Empire fall?,476
Who was the last Western Roman Emperor?,Romulus Augustulus
Who founded the city of Rome according to legend?,Romulus
"In what year, according to tradition, was Rome founded?",753 BC
In what year did the First Council of Nicaea take place?,325
In what year did the Great Schism split the Christian church into East and West?,1054
"In what year did the Hijra, Muhammad's migration to Medina, take place?",622
In what year did the Act of Supremacy establish the Church of England?,1534
In what year did the Avignon Papacy begin?,1309
"In what year was the Treaty of Tordesillas, dividing New World lands between Spain and Portugal?",1494
In what year was the Treaty of Paris that ended the Napoleonic Wars signed?,1815
"In what year was the Treaty of Ghent, ending the War of 1812, signed?",1814
What was the treaty that ended the Russo-Japanese War called?,Treaty of Portsmouth
In what year did Egypt's President sign the Camp David Accords?,1978
Which Egyptian President signed the Camp David Accords in 1978?,Anwar Sadat
Which Israeli Prime Minister signed the Camp David Accords in 1978?,Menachem Begin
"In what year was the Treaty of Brest-Litovsk, taking Russia out of World War One?",1918
In what year was the Treaty of Tilsit between France and Russia?,1807
"In what year was the Treaty of Utrecht, ending the War of the Spanish Succession?",1713
In what year was the Congress of Berlin held?,1878
Who discovered Tutankhamun's tomb in 1922?,Howard Carter
In what year was Tutankhamun's tomb discovered?,1922
"In what year, traditionally, did Egypt's Old Kingdom begin?",2686 BC
"In what year, traditionally, did Egypt's Middle Kingdom begin?",2055 BC
"In what year, traditionally, did Egypt's New Kingdom begin?",1550 BC
In what year did the Sui dynasty unify China?,581
"In what year, approximately, did the Shang dynasty begin in China?",1600 BC
"In what year, approximately, did the Zhou dynasty begin in China?",1046 BC
In what year did the Kamakura Shogunate begin in Japan?,1185
In what year did the Tokugawa Shogunate begin in Japan?,1603
Who was the first Tokugawa Shogun of Japan?,Tokugawa Ieyasu
In what year was Julius Caesar assassinated?,44 BC
In what year was Mahatma Gandhi assassinated?,1948
In what year was John F Kennedy assassinated?,1963
In what year was Malcolm X assassinated?,1965
In what year was Anwar Sadat assassinated?,1981
In what year was Indira Gandhi assassinated?,1984
In what year was Yitzhak Rabin assassinated?,1995
Who won the Nobel Peace Prize in 1964 for civil rights leadership?,Martin Luther King Jr
In what year did Nelson Mandela win the Nobel Peace Prize?,1993
"In what year was the Battle of Plassey, establishing British control in Bengal?",1757
In what year did the British Raj begin formal rule over India?,1858
In what year did the Winter War between Finland and the Soviet Union end?,1940
In what year did the Continuation War between Finland and the Soviet Union begin?,1941
In what year did the Chaco War between Bolivia and Paraguay begin?,1932
In what year did the War of the Triple Alliance in South America end?,1870
"In what year was the Battle of Lexington and Concord, the first battle of the American Revolution?",1775
In what year was the Battle of Bunker Hill?,1775
In what year was the Battle of Trenton?,1776
In what year was the Battle of Saratoga?,1777
In what year did Amerigo Vespucci first voyage to the New World?,1499
Who was the American continents named after?,Amerigo Vespucci
In what year was the Second Crusade launched?,1147
In what year was the Third Crusade launched?,1189
In what year did the Fourth Crusade sack Constantinople?,1204
In what year was the Children's Crusade?,1212
In what year did Osman I become Ottoman Sultan?,1299
In what year did Orhan become Ottoman Sultan?,1326
In what year did Murad I become Ottoman Sultan?,1362
In what year did Bayezid I become Ottoman Sultan?,1389
In what year did Mehmed II become Ottoman Sultan?,1451
In what year did Bayezid II become Ottoman Sultan?,1481
In what year did Selim I become Ottoman Sultan?,1512
In what year did Suleiman the Magnificent become Ottoman Sultan?,1520
In what year did Selim II become Ottoman Sultan?,1566
In what year did Ahmed I become Ottoman Sultan?,1603
In what year did Mahmud II become Ottoman Sultan?,1808
In what year did Abdulmejid I become Ottoman Sultan?,1839
In what year did Abdul Hamid II become Ottoman Sultan?,1876
In what year did Mehmed V become Ottoman Sultan?,1909
In what year did Mehmed VI become Ottoman Sultan?,1918
In what year did King Hugh Capet of France's reign begin?,987
In what year did King Philip II Augustus of France's reign begin?,1180
In what year did King Louis IX of France's reign begin?,1226
In what year did King Philip IV of France's reign begin?,1285
In what year did King Charles IV of France's reign begin?,1322
In what year did King Philip VI of France's reign begin?,1328
In what year did King John II of France's reign begin?,1350
In what year did King Charles V of France's reign begin?,1364
In what year did King Charles VI of France's reign begin?,1380
In what year did King Charles VII of France's reign begin?,1422
In what year did King Louis XI of France's reign begin?,1461
In what year did King Charles VIII of France's reign begin?,1483
In what year did King Louis XII of France's reign begin?,1498
In what year did King Francis I of France's reign begin?,1515
In what year did King Henry II of France's reign begin?,1547
In what year did King Francis II of France's reign begin?,1559
In what year did King Charles IX of France's reign begin?,1560
In what year did King Henry III of France's reign begin?,1574
In what year did King Henry IV of France's reign begin?,1589
In what year did Charlemagne become Holy Roman Emperor?,800
In what year did Otto I become Holy Roman Emperor?,962
In what year did Otto II become Holy Roman Emperor?,973
In what year did Otto III become Holy Roman Emperor?,996
In what year did Henry II become Holy Roman Emperor?,1014
In what year did Conrad II become Holy Roman Emperor?,1027
In what year did Henry III become Holy Roman Emperor?,1046
In what year did Henry V become Holy Roman Emperor?,1111
In what year did Frederick I Barbarossa become Holy Roman Emperor?,1155
In what year did Henry VI become Holy Roman Emperor?,1191
In what year did Frederick II become Holy Roman Emperor?,1220
In what year did Charles IV become Holy Roman Emperor?,1355
In what year did Sigismund become Holy Roman Emperor?,1433
In what year did Maximilian I become Holy Roman Emperor?,1508
In what year did Charles V become Holy Roman Emperor?,1519
In what year did Francis II become Holy Roman Emperor?,1792
In what year did Afonso I become monarch of Portugal?,1139
In what year did John I become monarch of Portugal?,1385
In what year did Manuel I become monarch of Portugal?,1495
In what year did John IV become monarch of Portugal?,1640
In what year did Maria I become monarch of Portugal?,1777
In what year did Pedro IV become monarch of Portugal?,1826
In what year did Carlos I become monarch of Portugal?,1889
In what year did Manuel II become monarch of Portugal?,1908
In what year did Gustav I Vasa become monarch of Sweden?,1523
In what year did Gustav II Adolf become monarch of Sweden?,1611
In what year did Christina become monarch of Sweden?,1632
In what year did Charles XII become monarch of Sweden?,1697
In what year did Gustav III become monarch of Sweden?,1771
In what year did Carl XVI Gustaf become monarch of Sweden?,1973
In what year did Christian IV become monarch of Denmark?,1588
In what year did Christian IX become monarch of Denmark?,1863
In what year did the Democratic Republic of the Congo gain independence?,1960
In what year did Ivory Coast gain independence?,1960
In what year did Senegal gain independence?,1960
In what year did Mali gain independence?,1960
In what year did Chad gain independence?,1960
In what year did Cameroon gain independence?,1960
In what year did Gabon gain independence?,1960
In what year did the Central African Republic gain independence?,1960
In what year did Niger gain independence?,1960
In what year did Burkina Faso gain independence?,1960
In what year did Benin gain independence?,1960
In what year did Mauritania gain independence?,1960
In what year did Togo gain independence?,1960
In what year did Madagascar gain independence?,1960
In what year did Somalia gain independence?,1960
In what year did the Republic of the Congo gain independence?,1960
In what year did Uganda gain independence?,1962
In what year did Malawi gain independence?,1964
In what year did Zambia gain independence?,1964
In what year did Tanganyika gain independence?,1961
In what year did Jamaica gain independence?,1962
In what year did Trinidad and Tobago gain independence?,1962
In what year did Barbados gain independence?,1966
In what year did Guyana gain independence?,1966
In what year did the Bahamas gain independence?,1973
In what year did Papua New Guinea gain independence?,1975
In what year did Fiji gain independence?,1970
In what year did Vietnam from France gain independence?,1954
"In what year was the Peace of Augsburg, allowing German princes to choose their state religion?",1555
"In what year was the Battle of Lepanto, a major naval battle against the Ottomans?",1571
"In what year did the Dutch Republic formally gain independence from Spain, recognised by treaty?",1648
In what year was the Act of Union joining England and Scotland into Great Britain?,1707
In what year was the Act of Union joining Great Britain and Ireland into the United Kingdom?,1800
In what year did Texas declare independence from Mexico?,1836
In what year was Texas annexed by the United States?,1845
In what year did California become a US state?,1850
In what year was the Homestead Act passed in the United States?,1862
In what year was the Emancipation Proclamation issued?,1863
In what year was slavery abolished in the British Empire?,1833
In what year was the Thirteenth Amendment abolishing slavery ratified in the United States?,1865
In what year did women gain the right to vote in the United States?,1920
In what year did women gain the right to vote in the United Kingdom on equal terms with men?,1928
In what year was the Geneva Convention on the treatment of prisoners of war signed?,1929
In what year was the World Health Organization founded?,1948
"In what year was the European Union's predecessor, the European Coal and Steel Community, founded?",1951
In what year was the Treaty of Rome establishing the European Economic Community signed?,1957
In what year did the Maastricht Treaty establish the European Union?,1992
In what year did the United Kingdom formally leave the European Union?,2020
In what year did Justinian I become Byzantine Emperor?,527
In what year did Heraclius become Byzantine Emperor?,610
In what year did Basil II become Byzantine Emperor?,976
In what year did Alexios I Komnenos become Byzantine Emperor?,1081
In what year did Michael VIII Palaiologos become Byzantine Emperor?,1259
In what year did the United States complete the Louisiana Purchase?,1803
In what year did the United States purchase Alaska from Russia?,1867
In what year was the Missouri Compromise passed?,1820
In what year was the Compromise of 1850 passed?,1850
In what year was the Kansas-Nebraska Act passed?,1854
In what year was the Dred Scott decision issued by the US Supreme Court?,1857
In what year did Reconstruction in the United States effectively end?,1877
In what year was the Hungarian Revolution against Soviet rule?,1956
In what year was the Prague Spring?,1968
In what year did the Nigerian Civil War (Biafran War) begin?,1967
In what year did the Nigerian Civil War (Biafran War) end?,1970
In what year did the Congo Crisis begin?,1960
In what year was the Bay of Pigs Invasion?,1961
In what year was the Chilean coup that brought Pinochet to power?,1973
In what year did the Iranian Revolution take place?,1979
"In what year did Saigon fall, ending the Vietnam War?",1975
In what year was Portugal's Carnation Revolution?,1974
In what year did the Algerian War of Independence begin?,1954
In what year did Leopold I become monarch of Belgium?,1831
In what year did Leopold II become monarch of Belgium?,1865
In what year did Albert I become monarch of Belgium?,1909
In what year did Leopold III become monarch of Belgium?,1934
In what year did Baudouin become monarch of Belgium?,1951
In what year did Albert II become monarch of Belgium?,1993
In what year did Philippe become monarch of Belgium?,2013
In what year did William I become monarch of the Netherlands?,1815
In what year did William II become monarch of the Netherlands?,1840
In what year did William III become monarch of the Netherlands?,1849
In what year did Wilhelmina become monarch of the Netherlands?,1890
In what year did Juliana become monarch of the Netherlands?,1948
In what year did Beatrix become monarch of the Netherlands?,1980
In what year did Willem-Alexander become monarch of the Netherlands?,2013
In what year did Kuwait gain independence?,1961
In what year did Qatar gain independence?,1971
In what year did the United Arab Emirates gain independence?,1971
In what year did Bahrain gain independence?,1971
In what year did Brunei gain independence?,1984
In what year did Belize gain independence?,1981
In what year did Suriname gain independence?,1975
In what year did the Second Opium War begin?,1856
In what year did the Second Opium War end?,1860
In what year did the Great Northern War begin?,1700
In what year did the Great Northern War end?,1721
In what year was the Battle of Poltava?,1709
In what year was the Battle of Rocroi?,1643
Who was the first person confirmed to reach the South Pole?,Roald Amundsen
In what year did Roald Amundsen first reach the South Pole?,1911
In what year did Robert Falcon Scott reach the South Pole?,1912
Who was the first person to summit Mount Everest?,Edmund Hillary
In what year was Mount Everest first summited?,1953
In what year did Charles Lindbergh complete the first solo transatlantic flight?,1927
In what year did Amelia Earhart disappear during her round-the-world flight attempt?,1937
In what year was the first successful transatlantic telegraph cable completed?,1858
In what year was the first modern Olympic Games held?,1896
In what year was the first FIFA World Cup held?,1930
In what year did the Hindenburg airship disaster occur?,1937
In what year was the first kidney transplant successfully performed?,1954
In what year was the first human heart transplant performed?,1967
In what year was penicillin first used to treat a patient?,1942
What historiographical term describes writing history primarily from the perspective of ordinary people rather than elites?,History from below
What term describes judging historical figures by present-day moral standards rather than the standards of their own time?,Presentism
What is the term for a historical school of thought emphasising long-term social and economic structures over individual events?,Annales School
What term describes a primary source written by someone with direct personal involvement in an event?,Eyewitness account
What is the term for the study of how history has been written and by whom?,Historiography
"What economic theory holds that European colonial powers extracted wealth from colonies, underdeveloping them?",Dependency theory
"What is the term for the idea that history moves in a fixed, ordered progression toward a final state?",Historical determinism
What was the Sykes-Picot Agreement?,a secret 1916 agreement between Britain and France dividing Ottoman Arab territories into spheres of influence
What was the Balfour Declaration of 1917?,a British statement supporting the establishment of a national home for the Jewish people in Palestine
What economic policy did the Soviet Union introduce in 1921 to partially reintroduce market elements after War Communism?,New Economic Policy
What was the Domino Theory used to justify during the Cold War?,"the belief that if one country fell to communism, neighbouring countries would follow"
What was the policy of Containment associated with in early Cold War American foreign policy?,preventing the spread of Soviet communism beyond its existing borders
What was Ostpolitik?,West Germany's policy of normalising relations with East Germany and Eastern Bloc states from the late 1960s
"What was Glasnost, introduced by Mikhail Gorbachev?",a policy of greater political openness and transparency in the Soviet Union
"What was Perestroika, introduced by Mikhail Gorbachev?",a policy of restructuring the Soviet economy and government
What was the Marshall Plan officially known as?,the European Recovery Program
What was the significance of the Corn Laws in nineteenth-century Britain?,"tariffs on imported grain that protected landowners but raised food prices, repealed in 1846"
What was the significance of the Reform Act of 1832 in Britain?,"it expanded the electorate and eliminated many rotten boroughs, reforming parliamentary representation"
What was a rotten borough in the British electoral system before 1832?,"a parliamentary constituency with very few voters, easily controlled by a wealthy patron"
What was the Enclosure movement in British agrarian history?,the process of consolidating and privatising previously common or open land
What economic and social process describes the mass migration of rural populations to cities during industrialisation?,urbanisation
"What term describes the economic policy of accumulating wealth through trade surpluses and colonial exploitation, dominant before free trade?",Mercantilism
What was the significance of the Peace of Augsburg of 1555 for the Holy Roman Empire?,"it allowed rulers to determine the official religion, Catholic or Lutheran, of their own territory"
What was the significance of the Investiture Controversy between medieval popes and monarchs?,a dispute over whether secular rulers or the Church had authority to appoint bishops and abbots
What was the feudal system's core structure based on?,an exchange of land for military service and loyalty between lords and vassals
What was primogeniture in medieval and early modern inheritance law?,the right of the eldest son to inherit the family estate
What was the significance of the Peasants' Revolt of 1381 in England?,it was a major uprising against high taxes and social restrictions following the Black Death
What long-term demographic and economic effect did the Black Death have on European labour in the fourteenth century?,a severe labour shortage that increased wages and weakened the feudal system
What was the significance of the Council of Trent for the Catholic Church?,it defined Catholic doctrine and launched the Counter-Reformation in response to Protestantism
What was the Counter-Reformation?,"the Catholic Church's response to the Protestant Reformation, reforming internal practices and reasserting doctrine"
What economic and religious motivations combined to drive the Dissolution of the Monasteries in England under Henry VIII?,seizing monastic wealth and land while asserting royal control over the church
What was the significance of the Petition of Right of 1628 in England?,it limited the king's power to imprison subjects without cause or levy taxes without Parliament's consent
What was the significance of the Bill of Rights of 1689 in England?,it established constitutional limits on royal power and expanded parliamentary authority after the Glorious Revolution
What was mercantilist rivalry a major underlying cause of in eighteenth-century European warfare?,conflicts over colonial trade and territory between European powers
What was the significance of the Congress of Vienna for European diplomacy after 1815?,it redrew European borders and established a balance of power to prevent future large-scale war
"What ideology, emphasising national self-determination and cultural identity, rose across Europe in the nineteenth century?",Nationalism
What was the Concert of Europe?,a system of diplomatic cooperation among major powers to maintain the balance of power after 1815
What was the significance of the Zollverein in nineteenth-century Germany?,a customs union that reduced trade barriers among German states and paved the way toward unification
"What was realpolitik, associated with Otto von Bismarck's diplomacy?",a pragmatic approach to politics based on practical power considerations rather than ideology
What alliance system is often cited as a key structural cause of the outbreak of World War One?,the network of entangling alliances between major European powers
What was the July Crisis of 1914?,the diplomatic confrontation among European powers following Franz Ferdinand's assassination that led directly to war
"What was trench warfare, characteristic of the Western Front in World War One?",a form of static warfare using deep defensive trench systems separated by no man's land
What was the significance of the Zimmermann Telegram in 1917?,"a secret German proposal to Mexico that, once intercepted, helped draw the United States into World War One"
"What was war guilt, as assigned formally to Germany in the Treaty of Versailles?","Article 231, which held Germany responsible for causing World War One"
What was hyperinflation in Weimar Germany in 1923 largely caused by?,"the government printing excessive money to pay reparations and striking workers, collapsing the currency's value"
What was the Enabling Act of 1933 in Germany?,a law granting Hitler's cabinet power to enact laws without the Reichstag's involvement
"What was Lebensraum, a core concept in Nazi ideology?","the belief that Germany needed additional living space, especially in Eastern Europe, for its population"
"What was appeasement, the policy pursued by Britain and France toward Nazi Germany in the 1930s?",making concessions to an aggressive power to avoid conflict
What was the Molotov-Ribbentrop Pact of 1939?,a non-aggression agreement between Nazi Germany and the Soviet Union that included a secret plan to divide Eastern Europe
What was the significance of the Battle of Stalingrad for the wider course of World War Two?,"it marked a decisive turning point on the Eastern Front, halting the German advance into the Soviet Union"
"What was the Final Solution, the Nazi regime's policy from 1941 onward?",the systematic genocide of Europe's Jewish population
What was the significance of the Yalta Conference of 1945?,Allied leaders agreed on the postwar reorganisation of Europe and the division of Germany into occupation zones
What was the significance of the Potsdam Conference of 1945?,Allied leaders finalised plans for postwar Germany and issued an ultimatum demanding Japan's surrender
"What was denazification, carried out in occupied Germany after World War Two?","the Allied process of removing Nazi influence from German society, culture, and institutions"
What was the Truman Doctrine of 1947?,"a US commitment to support countries resisting communist expansion, beginning with Greece and Turkey"
What was the significance of the Berlin Blockade of 1948 to 1949?,"the Soviet Union cut off land access to West Berlin, prompting the Allied Berlin Airlift"
What was McCarthyism in 1950s America?,a period of intense anti-communist suspicion and investigation led by Senator Joseph McCarthy
What was the significance of Brown v Board of Education in 1954?,a US Supreme Court ruling that declared racial segregation in public schools unconstitutional
"What was the Non-Aligned Movement, formed during the Cold War?","a group of states that declared themselves neutral, not formally aligned with either the US or Soviet bloc"
"What was decolonisation, the major global process after World War Two?",the process by which colonies gained independence from European colonial powers
What was the significance of the Bandung Conference of 1955?,it promoted Afro-Asian cooperation and opposition to colonialism among newly independent nations
"What was détente, a phase in Cold War relations during the 1970s?",a period of eased tension and improved relations between the United States and the Soviet Union
"What was mutually assured destruction, a Cold War nuclear strategy concept?",the doctrine that a full-scale nuclear attack by either side would result in the destruction of both
What was the significance of the SALT agreements between the United States and the Soviet Union?,they limited the number of strategic nuclear weapons each superpower could possess
"What was Ostalgie, a term describing sentiment in post-reunification Germany?",nostalgia for aspects of life in former East Germany after reunification
What was the Great Leap Forward in China under Mao Zedong?,"a campaign from 1958 to rapidly industrialise and collectivise agriculture, which led to a severe famine"
What was the Cultural Revolution's stated aim in China from 1966?,purging capitalist and traditional elements from Chinese society to preserve communist ideology
What was the significance of the Great Famine of 1958 to 1962 in China?,it caused tens of millions of deaths due to failed agricultural policies during the Great Leap Forward
What was Deng Xiaoping's economic policy shift beginning in 1978 known as?,Reform and Opening Up
"What was apartheid, the system implemented in South Africa from 1948?",a policy of institutionalised racial segregation and discrimination
What was the significance of the Sharpeville Massacre of 1960?,"South African police killed dozens of protesters, drawing international condemnation of apartheid"
What was the Truth and Reconciliation Commission in post-apartheid South Africa?,a body that investigated apartheid-era human rights abuses and promoted national healing
What was the significance of the Berlin Conference of 1884 to 1885 for Africa?,European powers formalised the partition of Africa into colonial territories without African representation
"What was indirect rule, a colonial administrative strategy used especially by Britain in Africa?",governing colonies through existing local leaders and structures rather than direct European administration
What was the significance of the Mau Mau Uprising in Kenya during the 1950s?,an armed rebellion against British colonial rule that contributed to Kenya's eventual independence
"What was the Non-Cooperation Movement, launched by Gandhi in 1920?","a campaign urging Indians to boycott British goods, institutions, and honours to resist colonial rule"
What was the significance of the Salt March of 1930 led by Gandhi?,a nonviolent protest against the British salt tax that galvanised the Indian independence movement
"What was Partition, as it occurred in South Asia in 1947?","the division of British India into the independent states of India and Pakistan, accompanied by mass displacement and violence"
What was the significance of the Green Revolution in mid-twentieth-century agriculture?,the introduction of high-yield crop varieties and modern farming techniques that greatly increased food production
What was the encomienda system in Spanish colonial America?,a labour system granting colonists the right to demand labour and tribute from indigenous people
What was the significance of the Columbian Exchange?,"the widespread transfer of plants, animals, diseases, and people between the Americas and the Old World after 1492"
What was the triangular trade in the early modern Atlantic economy?,"a trade network moving goods, enslaved people, and raw materials among Europe, Africa, and the Americas"
What was the Middle Passage?,the forced transatlantic voyage of enslaved Africans to the Americas under brutal conditions
What was the significance of the Haitian Revolution for the broader Atlantic world?,"it was the only successful slave revolt to establish an independent state, ending slavery and French colonial rule in Haiti"
What was Manifest Destiny in nineteenth-century American political thought?,the belief that the United States was destined to expand across the North American continent
What was the significance of the Indian Removal Act of 1830 in the United States?,it authorised the forced relocation of Native American tribes from their ancestral lands
What was the Trail of Tears?,"the forced march of Native American tribes, especially the Cherokee, to designated territory west of the Mississippi, causing many deaths"
"What was Jim Crow, the system established in the American South after Reconstruction?",a set of laws enforcing racial segregation and disenfranchisement of Black Americans
What was the significance of the Plessy v Ferguson ruling of 1896?,it upheld racial segregation under the doctrine of separate but equal
What was the significance of the March on Washington in 1963?,a mass demonstration for civil rights where Martin Luther King Jr delivered his I Have a Dream speech
What was the Civil Rights Act of 1964 in the United States?,"landmark legislation outlawing discrimination based on race, colour, religion, sex, or national origin"
What was the Voting Rights Act of 1965 designed to address?,"barriers, such as literacy tests, that prevented Black Americans from voting"
What was containment's central failure often argued to be in Vietnam?,misjudging the conflict as primarily a Cold War proxy struggle rather than a nationalist independence movement
What was the Gulf of Tonkin incident of 1964 used to justify?,expanded US military involvement in the Vietnam War
What was the significance of the Tet Offensive of 1968?,"it shocked American public opinion and undermined confidence in the war's progress, despite being a military defeat for the attackers"
"What was Vietnamisation, a policy pursued by President Nixon?",gradually transferring combat responsibility from US forces to South Vietnamese forces
What was the significance of the fall of the Berlin Wall in 1989 for the wider Eastern Bloc?,it symbolised and accelerated the collapse of communist governments across Eastern Europe
"What was shock therapy, an economic policy applied in post-Soviet Russia in the early 1990s?","the rapid liberalisation of prices, trade, and privatisation intended to quickly transition to a market economy"
What was the significance of the Dayton Agreement of 1995?,it ended the Bosnian War and established a framework for governing Bosnia and Herzegovina
"What was the Washington Consensus, an economic policy framework promoted in the 1980s and 1990s?","a set of market-oriented reforms, including privatisation and trade liberalisation, recommended for developing economies"
