question,answer
What is 9 to the power of 5?,59049
What is 9 to the power of 6?,531441
What is 10 to the power of 7?,10000000
What is 11 to the power of 5?,161051
What is 12 to the power of 4?,20736
What is 13 to the power of 4?,28561
What is 14 to the power of 3?,2744
What is 15 to the power of 3?,3375
What is 16 to the power of 3?,4096
What is 17 to the power of 2?,289
What is 19 to the power of 2?,361
What is 23 to the power of 2?,529
What is 29 to the power of 2?,841
What is 31 to the power of 2?,961
What is 37 to the power of 2?,1369
What is 41 to the power of 2?,1681
What is 43 to the power of 2?,1849
What is 11 percent of 220?,24.2
What is 13 percent of 650?,84.5
What is 17 percent of 400?,68.0
What is 19 percent of 900?,171.0
What is 21 percent of 350?,73.5
What is 23 percent of 600?,138.0
What is 27 percent of 800?,216.0
What is 31 percent of 250?,77.5
What is 37 percent of 540?,199.8
What is 41 percent of 300?,123.0
What is 43 percent of 700?,301.0
What is 47 percent of 900?,423.0
What is 53 percent of 200?,106.0
What is 57 percent of 350?,199.5
What is 61 percent of 450?,274.5
What is 67 percent of 900?,603.0
What is 71 percent of 500?,355.0
What is 73 percent of 600?,438.0
What is 79 percent of 700?,553.0
What is 83 percent of 900?,747.0
What is 2 percent of 150?,3.0
What is 4 percent of 250?,10.0
What is 6 percent of 350?,21.0
What is 8 percent of 450?,36.0
What is 16 percent of 750?,120.0
What is 24 percent of 325?,78.0
What is 26 percent of 450?,117.0
What is 34 percent of 550?,187.0
What is 36 percent of 650?,234.0
What is 38 percent of 850?,323.0
What is 42 percent of 900?,378.0
What is 44 percent of 950?,418.0
What is 48 percent of 375?,180.0
What is 52 percent of 625?,325.0
What is 54 percent of 850?,459.0
What is 56 percent of 900?,504.0
What is 58 percent of 375?,217.5
What is 62 percent of 450?,279.0
What is 64 percent of 875?,560.0
What is 66 percent of 950?,627.0
What is 660 divided by 15?,44
What is 1073 divided by 37?,29
What is 1001 divided by 11?,91
What is 1056 divided by 33?,32
What is 1164 divided by 12?,97
What is 924 divided by 44?,21
What is 1102 divided by 19?,58
What is 1219 divided by 23?,53
What is 1264 divided by 16?,79
What is 1188 divided by 27?,44
What is 798 divided by 38?,21
What is 966 divided by 42?,23
What is 1189 divided by 29?,41
What is 1147 divided by 31?,37
What is 1242 divided by 46?,27
What is 912 divided by 48?,19
What is 1157 divided by 13?,89
What is 1207 divided by 17?,71
What is 1407 divided by 21?,67
What is 1416 divided by 24?,59
What is 1484 divided by 28?,53
What is 1504 divided by 32?,47
What is 1548 divided by 36?,43
What is 1599 divided by 39?,41
What is the square root of 3025?,55
What is the square root of 3136?,56
What is the square root of 3249?,57
What is the square root of 3364?,58
What is the square root of 3481?,59
What is the square root of 3600?,60
What is the square root of 3721?,61
What is the square root of 3844?,62
What is the square root of 3969?,63
What is the square root of 4096?,64
What is the square root of 4225?,65
What is the square root of 4356?,66
What is the square root of 4489?,67
What is the square root of 4624?,68
What is the square root of 4761?,69
What is the square root of 4900?,70
What is the square root of 5041?,71
What is the square root of 5184?,72
What is the square root of 5329?,73
What is the square root of 5476?,74
What is the square root of 5625?,75
What is the square root of 5776?,76
What is the square root of 5929?,77
What is the square root of 6084?,78
What is the square root of 6241?,79
What is the square root of 6400?,80
What is the square root of 6561?,81
What is the square root of 6724?,82
What is the square root of 6889?,83
What is the fundamental theorem of calculus?,differentiation and integration are inverse operations
What is the fundamental theorem of algebra?,every non-constant polynomial with complex coefficients has at least one complex root
What is the intermediate value theorem?,if a continuous function takes values f(a) and f(b) it takes every value between them on the interval
What is the mean value theorem?,there exists a point where the derivative equals the average rate of change over the interval
What is Rolle's theorem?,if f(a) equals f(b) for a differentiable function there exists a point in between where the derivative is zero
What is Taylor's theorem used for?,approximating a function as a sum of terms derived from its derivatives at a point
What is L'Hopital's rule used for?,evaluating limits of indeterminate forms by differentiating the numerator and denominator
What is the Cauchy-Schwarz inequality?,the absolute value of the dot product of two vectors is at most the product of their magnitudes
What is the AM-GM inequality?,the arithmetic mean of non-negative numbers is always greater than or equal to their geometric mean
What is the pigeonhole principle?,if n items are placed into fewer than n containers at least one container holds more than one item
What is the Chinese remainder theorem used for?,solving systems of simultaneous congruences with coprime moduli
What is the fundamental theorem of arithmetic?,every integer greater than 1 has a unique prime factorisation
What is Bezout's identity?,for integers a and b there exist integers x and y such that ax plus by equals their greatest common divisor
What is Euler's formula for polyhedra?,vertices minus edges plus faces equals 2
What does Stokes' theorem relate?,the surface integral of a curl to the line integral around the boundary
What does Green's theorem relate?,a line integral around a closed curve to a double integral over the region it encloses
What does the divergence theorem relate?,the flux through a closed surface to the divergence integrated over the enclosed volume
What is the central limit theorem?,the distribution of sample means approaches a normal distribution as sample size increases
What is the law of large numbers?,as the number of trials increases the sample average converges to the expected value
What is the Cayley-Hamilton theorem?,every square matrix satisfies its own characteristic equation
What is Fermat's little theorem?,if p is prime then a to the power p is congruent to a modulo p
What is an eigenvalue?,a scalar such that a matrix applied to its eigenvector only scales the vector
What is an eigenvector?,a nonzero vector that only changes by a scalar factor when a linear transformation is applied
What is the rank of a matrix?,the number of linearly independent rows or columns
What is the transpose of a matrix?,a matrix formed by swapping its rows and columns
What is an orthogonal matrix?,a matrix whose transpose equals its inverse
What is a positive definite matrix?,a symmetric matrix where all eigenvalues are positive
What does the characteristic polynomial of a matrix determine?,the eigenvalues of the matrix
What is the complex conjugate of a plus bi?,a minus bi
What is the modulus of a complex number a plus bi?,the square root of a squared plus b squared
What is the argument of a complex number?,the angle it makes with the positive real axis
What is De Moivre's theorem?,r to the power n times cos n theta plus i sin n theta equals r cos theta plus i sin theta to the power n
What is Euler's formula relating a complex exponential to trigonometric functions?,e to the i theta equals cos theta plus i sin theta
What is the order of a differential equation?,the highest derivative appearing in the equation
What is a particular solution of a differential equation?,a specific solution satisfying given initial or boundary conditions
What is the Laplace transform used for?,converting a differential equation into an algebraic equation in another variable
What is a Fourier series used for?,representing a periodic function as a sum of sines and cosines
What is a partial derivative?,the derivative of a multivariable function with respect to one variable holding the others constant
What is the gradient of a scalar function?,a vector of its partial derivatives pointing in the direction of steepest increase
What does the divergence of a vector field measure?,the net outward flux per unit volume at a point
What does the curl of a vector field measure?,the rotation or circulation of the field at a point
What is the Jacobian matrix?,a matrix of all first-order partial derivatives of a vector-valued function
What is the Hessian matrix used for?,determining the concavity of a multivariable function using second-order partial derivatives
What is a convex function?,a function where the line segment between any two points on its graph lies above or on the graph
What is the Maclaurin series of e to the x?,the sum of x to the power n over n factorial for n from 0 to infinity
What is the radius of convergence of a power series?,the distance from the centre within which the series converges
What is the ratio test used for?,determining whether an infinite series converges by examining the limit of consecutive term ratios
What is the root test used for?,determining the convergence of a series using the limit of the nth root of its terms
What condition must the common ratio satisfy for a geometric series to converge?,the absolute value of the common ratio must be less than 1
Does the harmonic series converge or diverge?,diverges
"What is the sum of the reciprocals of the squares of all positive integers, known as the Basel problem?",pi squared over 6
What is Stirling's approximation used for?,approximating large factorials
What are generating functions used for?,encoding a sequence as the coefficients of a power series
What is Binet's formula used for?,giving a closed-form expression for the nth Fibonacci number
What do Catalan numbers count?,the number of valid ways to arrange nested pairs of brackets
What does Pascal's triangle generate?,binomial coefficients
What does Vandermonde's identity express?,a binomial coefficient of a sum as a sum of products of binomial coefficients
What is a derangement?,a permutation in which no element appears in its original position
What is the definition of a mathematical group?,"a set with an operation that is closed, associative, has an identity element, and every element has an inverse"
What is an abelian group?,a group in which the operation is commutative
What is the identity element of a group?,the element that leaves other elements unchanged when combined with them under the group operation
What is a ring in abstract algebra?,"a set with two operations, addition and multiplication, satisfying distributive and associative properties"
What is a field in abstract algebra?,a ring in which every nonzero element has a multiplicative inverse
What do the vector space axioms define?,the rules a set of vectors must satisfy under addition and scalar multiplication
What is linear independence?,a property of a set of vectors where no vector can be written as a combination of the others
What is the basis of a vector space?,a linearly independent set of vectors that spans the space
What is the dimension of a vector space?,the number of vectors in a basis for the space
What is the kernel of a linear transformation?,the set of vectors that map to zero
What is the image of a linear transformation?,the set of all possible output vectors
What is an isomorphism?,a bijective mapping between two structures that preserves their operations
What is a homomorphism?,a structure-preserving map between two algebraic structures
What is a bijection?,a function that is both injective and surjective
What is an equivalence relation?,"a relation that is reflexive, symmetric, and transitive"
What is the well-ordering principle?,every nonempty set of positive integers has a least element
What is the principle of mathematical induction used for?,proving a statement true for all natural numbers via a base case and an inductive step
What proof technique assumes the opposite of the statement to derive a contradiction?,proof by contradiction
What is the cardinality of the continuum?,the cardinality of the set of real numbers
What is a countable set?,a set whose elements can be put into a one-to-one correspondence with the natural numbers
What is a Cauchy sequence?,a sequence whose terms become arbitrarily close to each other as the sequence progresses
What is a complete metric space?,a metric space in which every Cauchy sequence converges within the space
"What is a compact set in topology, within Euclidean space?",a set that is closed and bounded
What is an open set?,a set in which every point has a neighbourhood entirely contained within the set
What is a metric space?,a set equipped with a function that defines the distance between any two elements
What is the epsilon-delta definition of a limit used for?,giving a rigorous formal definition of what it means for a function to approach a value
What is the squeeze theorem used for?,finding the limit of a function by bounding it between two other functions with the same limit
What is an improper integral?,a definite integral with an infinite limit of integration or an unbounded integrand
What is the alternating series test used for?,determining the convergence of a series whose terms alternate in sign
What is a p-series?,a series of the form the sum of 1 over n to the power p
For what values of p does a p-series converge?,p greater than 1
What is the multinomial theorem a generalisation of?,the binomial theorem to sums with more than two terms
What is a recurrence relation?,an equation that defines a sequence in terms of its previous terms
What is the discriminant of a quadratic equation used to determine?,the number and nature of its roots
What discriminant value indicates a quadratic equation has two distinct real roots?,a positive discriminant
What discriminant value indicates a quadratic equation has repeated real roots?,a discriminant of zero
What discriminant value indicates a quadratic equation has complex roots?,a negative discriminant
What is the imaginary unit i defined as?,the square root of negative 1
What is Euler's number e commonly defined as the limit of?,1 plus 1 over n to the power n as n approaches infinity
What is a Taylor series centred at zero also called?,a Maclaurin series
"What is the test that classifies a critical point as a maximum, minimum, or saddle point using the second derivative called?",the second derivative test
What is a saddle point?,a critical point that is neither a local maximum nor a local minimum
