question,answer
What is the chemical formula for phosphorus trichloride?,PCl3
What is the chemical formula for phosphorus pentachloride?,PCl5
What is the chemical formula for silica (silicon dioxide)?,SiO2
What is the chemical formula for rust (iron(III) oxide)?,Fe2O3
What is the chemical formula for alumina (aluminium oxide)?,Al2O3
What is the chemical formula for calcium chloride?,CaCl2
What is the chemical formula for sodium fluoride?,NaF
What is the chemical formula for potassium chloride?,KCl
What is the chemical formula for magnesium chloride?,MgCl2
What is the chemical formula for zinc chloride?,ZnCl2
What is the chemical formula for barium sulfate?,BaSO4
What is the chemical formula for lead dioxide?,PbO2
What is the chemical formula for titanium dioxide?,TiO2
What is the chemical formula for potassium nitrate?,KNO3
What is the chemical formula for ammonium chloride?,NH4Cl
What is the chemical formula for ammonium sulfate?,(NH4)2SO4
What is the chemical formula for sodium sulfate?,Na2SO4
What is the chemical formula for copper oxide?,CuO
What is the chemical formula for copper chloride?,CuCl2
What is the chemical formula for iron(III) chloride?,FeCl3
What is the chemical formula for iron(II) chloride?,FeCl2
What is the chemical formula for manganese dioxide?,MnO2
What is the chemical formula for chromium oxide?,Cr2O3
What is the chemical formula for lithium chloride?,LiCl
What is the chemical formula for lithium carbonate?,Li2CO3
What is the chemical formula for sodium nitrate?,NaNO3
What is the chemical formula for calcium sulfate?,CaSO4
What is the chemical formula for magnesium oxide?,MgO
What is the chemical formula for potassium bromide?,KBr
What is the chemical formula for silver chloride?,AgCl
What is the chemical formula for barium chloride?,BaCl2
What is the chemical formula for zinc sulfate?,ZnSO4
What is the chemical formula for nickel oxide?,NiO
What is the chemical formula for tin(IV) oxide?,SnO2
What is the chemical formula for lead(II) oxide?,PbO
What is the chemical formula for sodium sulfite?,Na2SO3
What is the chemical formula for potassium iodide?,KI
What is the chemical formula for calcium phosphate?,Ca3(PO4)2
What is the chemical formula for magnesium nitrate?,Mg(NO3)2
What is the chemical formula for aluminium chloride?,AlCl3
What is the chemical formula for aluminium sulfate?,Al2(SO4)3
What is the chemical formula for chloroform?,CHCl3
What is the chemical formula for formaldehyde?,HCHO
What is the chemical formula for acetone?,C3H6O
What is the chemical formula for toluene?,C7H8
What is the chemical formula for glycerol?,C3H8O3
What is the common name of the ion with the formula SO4^2-?,sulfate
What is the common name of the ion with the formula NO3-?,nitrate
What is the common name of the ion with the formula CO3^2-?,carbonate
What is the common name of the ion with the formula HCO3-?,bicarbonate
What is the common name of the ion with the formula PO4^3-?,phosphate
What is the common name of the ion with the formula NH4+?,ammonium
What is the common name of the ion with the formula OH-?,hydroxide
What is the common name of the ion with the formula CN-?,cyanide
What is the common name of the ion with the formula MnO4-?,permanganate
What is the common name of the ion with the formula CrO4^2-?,chromate
What is the common name of the ion with the formula Cr2O7^2-?,dichromate
What is the common name of the ion with the formula SO3^2-?,sulfite
What is the common name of the ion with the formula NO2-?,nitrite
What is the common name of the ion with the formula O2^2-?,peroxide
What is the common name of the ion with the formula CH3COO-?,acetate
What is the common name of the ion with the formula ClO-?,hypochlorite
What is the common name of the ion with the formula ClO3-?,chlorate
What is the common name of the ion with the formula ClO4-?,perchlorate
What is the common name of the ion with the formula C2O4^2-?,oxalate
What is the common name of the ion with the formula SCN-?,thiocyanate
What is the SI unit of temperature?,Kelvin
What is the SI unit of length?,Metre
What is the SI unit of mass?,Kilogram
What is the SI unit of time?,Second
What is the SI unit of electric potential (voltage)?,Volt
What is the SI unit of electrical resistance?,Ohm
What is the SI unit of capacitance?,Farad
What is the SI unit of inductance?,Henry
What is the SI unit of magnetic flux?,Weber
What is the SI unit of electrical conductance?,Siemens
What is the SI unit of luminous flux?,Lumen
What is the SI unit of illuminance?,Lux
What is the SI unit of absorbed radiation dose?,Gray
What is the SI unit of equivalent radiation dose?,Sievert
What is the SI unit of catalytic activity?,Katal
What is the SI unit of radioactivity?,Becquerel
What is the SI unit of plane angle?,Radian
What is the SI unit of solid angle?,Steradian
What is the name of the law stating that force equals mass times acceleration?,Newton's second law
What is the name of the law stating that every action has an equal and opposite reaction?,Newton's third law
What is the name of the law stating that an object at rest stays at rest unless acted on by a force?,Newton's first law
"What is the name of the law relating voltage, current, and resistance?",Ohm's law
What is the name of the principle stating that pressure applied to a confined fluid is transmitted equally in all directions?,Pascal's principle
What is the name of the effect where light striking a metal surface releases electrons?,Photoelectric effect
"What is the name of the law stating that energy cannot be created or destroyed, only converted?",Law of conservation of energy
What is the term for the resistance of an object to a change in its motion?,Inertia
What is the term for the rate of change of velocity?,Acceleration
What is the term for the force that opposes relative motion between surfaces in contact?,Friction
What is the term for the bending of a wave as it passes an obstacle or through an opening?,Diffraction
What is the term for the bouncing back of a wave from a surface?,Reflection
What is the term for energy stored due to an object's position?,Potential energy
What is the term for energy an object has due to its motion?,Kinetic energy
What is the term for the number of wave cycles that pass a point per second?,Frequency
What is the term for the distance between two consecutive crests of a wave?,Wavelength
What is the term for a material that allows electric current to flow easily?,Conductor
What is the term for a material that does not allow electric current to flow easily?,Insulator
What is the term for the SI base unit used to measure electric resistance named after a German physicist?,Ohm
What is the name of the scientist who developed the three laws of planetary motion?,Johannes Kepler
What is the name of the scientist credited with discovering the law of buoyancy?,Archimedes
What is the term for the point around which an object rotates?,Axis
What is the term used for the total energy of a closed system remaining constant over time?,Conservation of energy
What is the term for the transfer of heat through direct contact between particles?,Conduction
What is the term for the transfer of heat through fluid movement?,Convection
What is the term for the transfer of heat through electromagnetic waves?,Radiation
What is the term for the minimum speed needed to escape a planet's gravitational pull?,Escape velocity
What is the name of the theory describing gravity as the curvature of spacetime?,General relativity
What is the term for the smallest indivisible unit of light?,Photon
What is the term for the phenomenon where light separates into its component colours?,Dispersion
What is the name of our galaxy?,Milky Way
What is the name of the nearest large galaxy to the Milky Way?,Andromeda Galaxy
What is the name of the theory describing the origin of the universe from a single point roughly 13.8 billion years ago?,Big Bang theory
What is the term for a star that explodes violently at the end of its life?,Supernova
What is the term for the extremely dense remnant core of a massive star made almost entirely of neutrons?,Neutron star
What is the term for the boundary around a black hole beyond which nothing can escape?,Event horizon
What is the closest star to Earth other than the Sun?,Proxima Centauri
What is the term for a large cloud of gas and dust in space where new stars form?,Nebula
What is the term for the path an object takes around another due to gravity?,Orbit
"What is the term for a small rocky body orbiting the Sun, smaller than a planet?",Asteroid
What is the term for a small icy body that develops a glowing tail near the Sun?,Comet
What is the term for the shift of light toward longer wavelengths as an object moves away from an observer?,Redshift
How many planets are in the solar system?,8
What is the second closest planet to the Sun?,Venus
What is the term for the region in space between Mars and Jupiter containing many small rocky bodies?,Asteroid belt
What is the name of the largest moon of Saturn?,Titan
What is the name of the largest moon in the solar system?,Ganymede
What is the term for a star's apparent brightness as seen from Earth?,Apparent magnitude
What is the term for the imaginary line the Earth spins around?,Axis
What is the term for the region of space where a star's gravity dominates?,Gravitational field
What is the name given to the layer of the Sun that is visible to the naked eye?,Photosphere
What is the scientific term for red blood cells?,Erythrocytes
"What is the scientific term for platelets, the cells involved in blood clotting?",Thrombocytes
What is the largest artery in the human body?,Aorta
What is the term for cell division that produces two identical daughter cells?,Mitosis
What is the basic structural and functional unit of the nervous system?,Neuron
What is the fluid-filled sac that protects a developing fetus called?,Amniotic sac
What is the term for the voice box in humans?,Larynx
What is the term for the windpipe in humans?,Trachea
What is the largest gland in the human body?,Liver
What hormone produced by the pancreas lowers blood sugar levels?,Insulin
What hormone produced by the pancreas raises blood sugar levels?,Glucagon
Which gland produces adrenaline?,Adrenal gland
What is the term for the study of heredity?,Genetics
What is the basic physical unit of heredity called?,Gene
What is the term for an organism's complete set of genetic material?,Genome
What is the process of copying a gene's DNA sequence into RNA called?,Transcription
What is the process of building a protein from an mRNA sequence called?,Translation
What is the shape of the DNA molecule commonly called?,Double helix
Which scientist contributed critical X-ray diffraction images to the discovery of DNA's structure?,Rosalind Franklin
What is the term for an organism that produces its own food?,Autotroph
What is the term for an organism that cannot produce its own food?,Heterotroph
What green pigment in plants absorbs light for photosynthesis?,Chlorophyll
What is the process by which plants lose water vapour through their leaves called?,Transpiration
What plant tissue is responsible for transporting water?,Xylem
What plant tissue is responsible for transporting sugars?,Phloem
What is the waxy layer covering leaves that reduces water loss called?,Cuticle
What is the term for the chemical process cells use to release energy from glucose?,Cellular respiration
What is the process by which yeast converts sugar into alcohol and carbon dioxide called?,Fermentation
"What is the jelly-like substance inside a cell, excluding the nucleus, called?",Cytoplasm
What is the control centre of a cell called?,Nucleus
What organelle packages and ships proteins within a cell?,Golgi apparatus
What organelle is responsible for breaking down cellular waste?,Lysosome
What structure supports and gives shape to a plant cell?,Cell wall
What is the term for cell division that produces gametes with half the chromosome number?,Meiosis
What is the region around an atom where electrons are most likely to be found called?,Orbital
What is the process by which DNA makes a copy of itself called?,Replication
What is the term for the outer boundary of an animal cell that controls what enters and exits?,Cell membrane
"What connective tissue protein makes up much of skin, tendons, and bone?",Collagen
"What is the name of the digestive enzyme that breaks down starch, found in saliva?",Amylase
What is the name of the organ that filters waste from the blood to produce urine?,Kidney
What is the name of the muscular organ that pumps blood through the body?,Heart
What is the term for the fluid part of blood that remains after cells are removed?,Plasma
What is the name of the process by which the body maintains a stable internal environment?,Homeostasis
What is the outermost layer of human skin called?,Epidermis
What is the name of the sensory organ responsible for balance located in the inner ear?,Vestibular system
What is the term for a hereditary trait controlled by a single gene with two possible forms?,Allele
What is the term for an organism's observable physical characteristics?,Phenotype
What is the term for an organism's genetic makeup?,Genotype
What is the name of the process by which a caterpillar becomes a butterfly?,Metamorphosis
What is the term for a group of organisms capable of interbreeding to produce fertile offspring?,Species
What is the name of the tough outer covering of insects and crustaceans?,Exoskeleton
What SI prefix means one thousand?,kilo
What SI prefix means one million?,mega
What SI prefix means one billion?,giga
What SI prefix means one trillion?,tera
What SI prefix means one thousandth?,milli
What SI prefix means one millionth?,micro
What SI prefix means one billionth?,nano
What SI prefix means one hundred?,hecto
What SI prefix means one tenth?,deci
What SI prefix means one hundredth?,centi
What is the chemical formula for potassium sulfate?,K2SO4
What is the chemical formula for sodium phosphate?,Na3PO4
What is the chemical formula for calcium nitrate?,Ca(NO3)2
What is the chemical formula for barium nitrate?,Ba(NO3)2
What is the chemical formula for nickel chloride?,NiCl2
What is the chemical formula for cobalt chloride?,CoCl2
What is the chemical formula for tin(II) chloride?,SnCl2
What is the chemical formula for silver oxide?,Ag2O
What is the chemical formula for lithium hydroxide?,LiOH
What is the chemical formula for potassium hydride?,KH
What is the chemical formula for calcium hydride?,CaH2
What is the chemical formula for boron trioxide?,B2O3
What is the chemical formula for phosphorus pentoxide?,P2O5
What is the chemical formula for dinitrogen tetroxide?,N2O4
What is the chemical formula for sulfur hexafluoride?,SF6
What is the chemical formula for xenon difluoride?,XeF2
What is the chemical formula for ammonium nitrate?,NH4NO3
What is the chemical formula for ammonium carbonate?,(NH4)2CO3
What is the chemical formula for potassium carbonate?,K2CO3
What is the chemical formula for sodium silicate?,Na2SiO3
What is the chemical formula for calcium fluoride?,CaF2
What is the chemical formula for magnesium fluoride?,MgF2
What is the chemical formula for iron(II) sulfate?,FeSO4
What is the chemical formula for iron(III) sulfate?,Fe2(SO4)3
What is the chemical formula for manganese sulfate?,MnSO4
What is the chemical formula for zinc nitrate?,Zn(NO3)2
What is the chemical formula for copper nitrate?,Cu(NO3)2
What is the chemical formula for lead nitrate?,Pb(NO3)2
What is the chemical formula for barium hydroxide?,Ba(OH)2
What is the chemical formula for strontium chloride?,SrCl2
What is the name of the immune cells responsible for producing antibodies?,B cells
What is the name of the immune cells that directly destroy infected cells?,T cells
What is the term for white blood cells engulfing and digesting pathogens?,Phagocytosis
What is the term for a substance that triggers an immune response?,Antigen
What protein does the immune system produce to fight antigens?,Antibody
What is the name of the valve between the left atrium and left ventricle of the heart?,Mitral valve
What is the name of the valve between the right atrium and right ventricle of the heart?,Tricuspid valve
"What is the term for the network of the heart, blood, and blood vessels?",Circulatory system
Which gland in the neck regulates metabolism?,Thyroid gland
What is the main hormone produced by the thyroid gland?,Thyroxine
What is the process by which the body breaks food down into usable nutrients called?,Digestion
What organ is responsible for most nutrient absorption during digestion?,Small intestine
What are the beneficial bacteria living in the human gut collectively called?,Gut microbiota
What is the hard outer layer of a tooth called?,Enamel
What is the term for a reaction that releases heat energy?,Exothermic reaction
What is the term for the maximum displacement of a wave from its rest position?,Amplitude
What is the term for a wave that requires a medium such as air or water to travel through?,Mechanical wave
What is the term for a wave that can travel through a vacuum?,Electromagnetic wave
What unit is used to measure sound intensity?,Decibel
What is the branch of physics that studies motion without considering its causes called?,Kinematics
What is the branch of physics that studies forces and their effect on motion called?,Dynamics
What is the term for the point at which an object's entire weight can be considered to act?,Centre of gravity
What is the term for a reaction that absorbs heat energy?,Endothermic reaction
What is the term for a rock formed from cooled and solidified magma or lava?,Igneous rock
What functional group is represented by -OH attached to a carbon chain?,Hydroxyl group
What is the name of the nucleophilic substitution mechanism that proceeds in a single concerted step?,SN2 reaction
What is the name of the two-step nucleophilic substitution mechanism that proceeds via a carbocation intermediate?,SN1 reaction
What is the term for compounds with the same molecular formula but different structural arrangements?,Isomers
What is the term for isomers that differ only in spatial arrangement around a double bond or chiral centre?,Stereoisomers
"What is the term for a carbon atom bonded to four different groups, giving rise to optical activity?",Chiral carbon
What is the term for two stereoisomers that are non-superimposable mirror images of each other?,Enantiomers
What is the name of the reaction where an alkene reacts with hydrogen over a catalyst to form an alkane?,Hydrogenation
What is the name of the reaction that adds water across a carbon-carbon double bond?,Hydration
What is the term for the smallest repeating structural unit of a polymer?,Monomer
What is the name of the functional group containing a carbon double-bonded to oxygen and single-bonded to a hydroxyl group?,Carboxylic acid group
What is the name of the reaction between a carboxylic acid and an alcohol that forms an ester?,Esterification
What is the name of the principle stating that no two electrons in an atom can share the same four quantum numbers?,Pauli exclusion principle
What is the name of the rule stating that electrons fill the lowest energy orbitals first?,Aufbau principle
What is the name of the rule stating that electrons fill degenerate orbitals singly before pairing up?,Hund's rule
What is the term for the wave-like behaviour exhibited by particles such as electrons?,Wave-particle duality
What is the name of the principle stating it is impossible to simultaneously know an electron's exact position and momentum?,Heisenberg uncertainty principle
What is the term for the energy required to remove an electron from a gaseous atom?,Ionization energy
"What is the term for the region of space with a high probability of finding an electron, described by a wavefunction?",Atomic orbital
What quantum number describes the shape of an atomic orbital?,Azimuthal quantum number
What is the name of the hypothesis stating that electromagnetic radiation is emitted or absorbed in discrete packets?,Planck's quantum hypothesis
What is the term for atoms of the same element with different numbers of neutrons?,Isotopes
"What is the name of the law stating that in an isolated system, entropy never decreases over time?",Second law of thermodynamics
What is the name of the law stating that a system's internal energy change equals heat added minus work done?,First law of thermodynamics
What is the term for the measure of disorder or randomness in a thermodynamic system?,Entropy
What is the term for the thermodynamic potential that predicts the spontaneity of a reaction at constant temperature and pressure?,Gibbs free energy
What is the name of the law stating that a system's entropy approaches a constant minimum as temperature approaches absolute zero?,Third law of thermodynamics
What is the term for heat energy released or absorbed at constant pressure?,Enthalpy
What is the term for a reaction that proceeds without continuous external energy input?,Spontaneous reaction
What is the name of the equation relating a reaction's equilibrium constant to temperature?,Van 't Hoff equation
What is the term for the state in which the forward and reverse reaction rates of a reversible reaction are equal?,Chemical equilibrium
What is the name of the principle stating that a system at equilibrium shifts to counteract an imposed change?,Le Chatelier's principle
What is the name of the device that converts chemical energy into electrical energy via spontaneous redox reactions?,Galvanic cell
What is the term for the electrode at which oxidation occurs in an electrochemical cell?,Anode
What is the term for the electrode at which reduction occurs in an electrochemical cell?,Cathode
What is the name of the process that uses electrical energy to drive a non-spontaneous chemical reaction?,Electrolysis
What is the term for the loss of electrons in a chemical reaction?,Oxidation
What is the term for the gain of electrons in a chemical reaction?,Reduction
What is the name of the standard reference electrode assigned an electrode potential of zero volts?,Standard hydrogen electrode
What unit is used to measure electrode potential?,Volt
"In a monohybrid cross between two heterozygous parents, what phenotypic ratio is expected among the offspring?",3:1
What is the term for an organism carrying two identical alleles for a given trait?,Homozygous
What is the term for an organism carrying two different alleles for a given trait?,Heterozygous
Which scientist is known as the father of modern genetics for his work on pea plants?,Gregor Mendel
What chromosomal disorder is caused by an extra copy of chromosome 21?,Down syndrome
What is the term for a mutation that changes a single nucleotide base in a DNA sequence?,Point mutation
What is the term for a non-coding segment of DNA within a gene?,Intron
What is the term for the exchange of genetic material between homologous chromosomes during meiosis?,Crossing over
What is the term for a trait that is only expressed when two recessive alleles are present?,Recessive trait
What is the physical structure that carries DNA within a cell's nucleus called?,Chromosome
What is the name of the metabolic pathway that breaks glucose down into pyruvate with a net gain of two ATP?,Glycolysis
What is the name of the cyclical pathway in the mitochondrial matrix that oxidizes acetyl-CoA?,Krebs cycle
What is the term for ATP synthesis powered by a proton gradient across a membrane?,Chemiosmosis
What enzyme complex produces most cellular ATP using a proton gradient?,ATP synthase
"What are the light-dependent reactions of photosynthesis, occurring in the thylakoid membrane, called?",Light reactions
What are the light-independent reactions of photosynthesis that fix carbon dioxide into sugar called?,Calvin cycle
What is the level of protein structure describing the overall shape formed by multiple polypeptide subunits called?,Quaternary structure
What is the term for a molecule that inhibits an enzyme by binding directly to its active site?,Competitive inhibitor
What is the name of the model describing an enzyme changing shape to fit its substrate upon binding?,Induced fit model
What is the term for the loss of a protein's functional shape due to heat or extreme pH?,Denaturation
What is the name of the white blood cell that engulfs and digests pathogens through phagocytosis?,Macrophage
What are the immune cells responsible for producing antibodies called?,Plasma cells
What are the immune cells that directly destroy infected or cancerous cells called?,Cytotoxic T cells
What is the term for the immune system's ability to respond faster to a previously encountered pathogen?,Immunological memory
What is a weakened or inactive form of a pathogen used to stimulate immunity called?,Vaccine
What is the name of the protein family that presents antigen fragments on cell surfaces for immune recognition?,Major histocompatibility complex
"What is the classification of stars by temperature and spectral lines, using the sequence O B A F G K M, called?",Spectral classification
"What is the maximum mass a white dwarf can have before collapsing, approximately 1.4 solar masses, called?",Chandrasekhar limit
What diagram plots stars by luminosity against surface temperature?,Hertzsprung-Russell diagram
What is the faint radiation left over from the early universe called?,Cosmic microwave background radiation
What is the term for matter that does not emit light but is inferred from its gravitational effects?,Dark matter
What is the term for the mysterious force believed to drive the accelerating expansion of the universe?,Dark energy
What law states that a galaxy's recession velocity is proportional to its distance from us?,Hubble's law
What is the point within a black hole where density is thought to become infinite called?,Singularity
"What is the bending of light around a massive object due to gravity, predicted by general relativity, called?",Gravitational lensing
What is a rapidly rotating neutron star that emits beams of radiation called?,Pulsar
What spectroscopic technique uses infrared radiation absorption to identify functional groups in a molecule?,Infrared spectroscopy
What analytical technique separates mixture components based on differential movement through a stationary phase?,Chromatography
What technique uses the magnetic properties of atomic nuclei to determine molecular structure?,Nuclear magnetic resonance spectroscopy
What technique measures the mass-to-charge ratio of ions to identify a compound?,Mass spectrometry
"What is the term for a solid material with a highly ordered, repeating atomic structure?",Crystal
What is the term for a material whose electrical conductivity lies between a conductor and an insulator?,Semiconductor
What is the term for a material that loses all electrical resistance below a critical temperature?,Superconductor
What technique uses X-ray diffraction patterns to determine a crystal's atomic structure?,X-ray crystallography
What is the effect where a moving observer measures a different frequency of sound or light than a stationary source called?,Doppler effect
"What is the phenomenon where two entangled particles instantaneously affect each other's state, regardless of distance, called?",Quantum entanglement
"What equation relates mass and energy, expressed as E = mc squared?",Mass-energy equivalence
What is the slowing of time experienced by an object moving at high velocity relative to an observer called?,Time dilation
"What theoretical particle, discovered in 2012, is believed to give other particles mass?",Higgs boson
"What are the four fundamental forces of nature, including gravity and electromagnetism, collectively called?",Fundamental forces
What is the term for a chemical bond formed by the electrostatic attraction between oppositely charged ions?,Ionic bond
What is the term for a bond in which electrons are shared unequally between two atoms of different electronegativity?,Polar covalent bond
What is the term for the attractive force between a positive ion and the delocalized electrons in a metal?,Metallic bond
What is the term for the theory describing how atomic orbitals combine to form molecular orbitals?,Molecular orbital theory
"What is the term for a reaction rate law that depends on the concentration of two reactants, each to the first power?",Second-order reaction
What is the term for the time required for the concentration of a reactant to decrease by half?,Half-life
What is the name of the equation relating reaction rate constant to temperature and activation energy?,Arrhenius equation
What is the term for a catalyst that exists in the same phase as the reactants?,Homogeneous catalyst
What is the term for a catalyst that exists in a different phase from the reactants?,Heterogeneous catalyst
What is the term for a reaction rate law that depends on the concentration of one reactant to the first power?,First-order reaction
